"","model","size","PC1","PC1_counts","PC3","PC3_counts"
"1","GLM","2","PC1_neg",0,"PC3_neg",0
"2","ESM-L","2","PC1_neg",98,"PC3_neg",0
"3","ESM-P","2","PC1_neg",0,"PC3_neg",0
"4","HMSC","2","PC1_neg",34,"PC3_neg",0
"5","SAM","2","PC1_neg",28,"PC3_neg",12
"6","GLM","4","PC1_neg",0,"PC3_neg",0
"7","ESM-L","4","PC1_neg",98,"PC3_neg",0
"8","ESM-P","4","PC1_neg",0,"PC3_neg",0
"9","HMSC","4","PC1_neg",36,"PC3_neg",0
"10","SAM","4","PC1_neg",40,"PC3_neg",4
"11","GLM","8","PC1_neg",1,"PC3_neg",19
"12","ESM-L","8","PC1_neg",100,"PC3_neg",0
"13","ESM-P","8","PC1_neg",0,"PC3_neg",0
"14","HMSC","8","PC1_neg",16,"PC3_neg",0
"15","SAM","8","PC1_neg",63,"PC3_neg",9
"16","GLM","16","PC1_neg",0,"PC3_neg",11
"17","ESM-L","16","PC1_neg",100,"PC3_neg",0
"18","ESM-P","16","PC1_neg",0,"PC3_neg",0
"19","HMSC","16","PC1_neg",1,"PC3_neg",0
"20","SAM","16","PC1_neg",51,"PC3_neg",3
"21","GLM","32","PC1_neg",0,"PC3_neg",10
"22","ESM-L","32","PC1_neg",100,"PC3_neg",0
"23","ESM-P","32","PC1_neg",0,"PC3_neg",0
"24","HMSC","32","PC1_neg",1,"PC3_neg",0
"25","SAM","32","PC1_neg",27,"PC3_neg",11
"26","GLM","64","PC1_neg",0,"PC3_neg",9
"27","ESM-L","64","PC1_neg",100,"PC3_neg",0
"28","ESM-P","64","PC1_neg",0,"PC3_neg",0
"29","HMSC","64","PC1_neg",0,"PC3_neg",0
"30","SAM","64","PC1_neg",19,"PC3_neg",11
"31","GLM","2","PC1_neutral",0,"PC3_neutral",0
"32","ESM-L","2","PC1_neutral",2,"PC3_neutral",0
"33","ESM-P","2","PC1_neutral",0,"PC3_neutral",0
"34","HMSC","2","PC1_neutral",10,"PC3_neutral",0
"35","SAM","2","PC1_neutral",2,"PC3_neutral",3
"36","GLM","4","PC1_neutral",0,"PC3_neutral",0
"37","ESM-L","4","PC1_neutral",0,"PC3_neutral",0
"38","ESM-P","4","PC1_neutral",0,"PC3_neutral",0
"39","HMSC","4","PC1_neutral",15,"PC3_neutral",0
"40","SAM","4","PC1_neutral",1,"PC3_neutral",2
"41","GLM","8","PC1_neutral",0,"PC3_neutral",0
"42","ESM-L","8","PC1_neutral",0,"PC3_neutral",0
"43","ESM-P","8","PC1_neutral",0,"PC3_neutral",1
"44","HMSC","8","PC1_neutral",8,"PC3_neutral",0
"45","SAM","8","PC1_neutral",2,"PC3_neutral",1
"46","GLM","16","PC1_neutral",0,"PC3_neutral",2
"47","ESM-L","16","PC1_neutral",0,"PC3_neutral",0
"48","ESM-P","16","PC1_neutral",0,"PC3_neutral",0
"49","HMSC","16","PC1_neutral",2,"PC3_neutral",0
"50","SAM","16","PC1_neutral",3,"PC3_neutral",2
"51","GLM","32","PC1_neutral",0,"PC3_neutral",2
"52","ESM-L","32","PC1_neutral",0,"PC3_neutral",0
"53","ESM-P","32","PC1_neutral",0,"PC3_neutral",0
"54","HMSC","32","PC1_neutral",0,"PC3_neutral",1
"55","SAM","32","PC1_neutral",2,"PC3_neutral",2
"56","GLM","64","PC1_neutral",0,"PC3_neutral",3
"57","ESM-L","64","PC1_neutral",0,"PC3_neutral",0
"58","ESM-P","64","PC1_neutral",0,"PC3_neutral",0
"59","HMSC","64","PC1_neutral",0,"PC3_neutral",2
"60","SAM","64","PC1_neutral",3,"PC3_neutral",1
"61","GLM","2","PC1_pos",0,"PC3_pos",0
"62","ESM-L","2","PC1_pos",0,"PC3_pos",100
"63","ESM-P","2","PC1_pos",0,"PC3_pos",0
"64","HMSC","2","PC1_pos",50,"PC3_pos",94
"65","SAM","2","PC1_pos",51,"PC3_pos",66
"66","GLM","4","PC1_pos",0,"PC3_pos",0
"67","ESM-L","4","PC1_pos",2,"PC3_pos",100
"68","ESM-P","4","PC1_pos",0,"PC3_pos",0
"69","HMSC","4","PC1_pos",48,"PC3_pos",99
"70","SAM","4","PC1_pos",33,"PC3_pos",68
"71","GLM","8","PC1_pos",99,"PC3_pos",81
"72","ESM-L","8","PC1_pos",0,"PC3_pos",100
"73","ESM-P","8","PC1_pos",100,"PC3_pos",99
"74","HMSC","8","PC1_pos",75,"PC3_pos",99
"75","SAM","8","PC1_pos",22,"PC3_pos",77
"76","GLM","16","PC1_pos",100,"PC3_pos",87
"77","ESM-L","16","PC1_pos",0,"PC3_pos",100
"78","ESM-P","16","PC1_pos",100,"PC3_pos",100
"79","HMSC","16","PC1_pos",96,"PC3_pos",99
"80","SAM","16","PC1_pos",27,"PC3_pos",76
"81","GLM","32","PC1_pos",100,"PC3_pos",88
"82","ESM-L","32","PC1_pos",0,"PC3_pos",100
"83","ESM-P","32","PC1_pos",100,"PC3_pos",100
"84","HMSC","32","PC1_pos",95,"PC3_pos",95
"85","SAM","32","PC1_pos",53,"PC3_pos",69
"86","GLM","64","PC1_pos",100,"PC3_pos",88
"87","ESM-L","64","PC1_pos",0,"PC3_pos",100
"88","ESM-P","64","PC1_pos",100,"PC3_pos",100
"89","HMSC","64","PC1_pos",98,"PC3_pos",96
"90","SAM","64","PC1_pos",61,"PC3_pos",71
